Year,OBS_STATUS,NATURE,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
2001,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,24.50755
2002,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,24.8166
2003,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,19.60949
2004,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,9.38465
2005,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,9.51369
2006,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,15.81002
2007,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,22.39385
2008,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,17.603
2009,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,10.74253
2010,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,9.60989
2011,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,8.66584
2012,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,8.04453
2013,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,7.14446
2014,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,8.74529
2015,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,8.28423
2016,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,7.87399
2017,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,8.34095
2018,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,8.30469
2019,A,C,FAO calculation based on UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,8.17322
2020,E,E,FAO calculation based on WB national account data and FAO imputation,Agriculture value added share of GDP [2.a.1],Percent,FAO calculation based on WB national account data and FAO imputation,,,10.93627
2009,A,C,FAO Questionnaire and IMF data. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,FAO Imputation. World Bank national accounts data.,Consolidated General Government Expenditure,Budgetary Central Government Expenditure,0.212
2010,A,C,FAO Questionnaire and IMF data. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,FAO Imputation. World Bank national accounts data.,Consolidated General Government Expenditure,Budgetary Central Government Expenditure,1.165
2011,A,C,FAO Questionnaire and IMF data. UNSD national account estimates.,Agriculture orientation index for government expenditures [2.a.1],Index,FAO Imputation. World Bank national accounts data.,Consolidated General Government Expenditure,Budgetary Central Government Expenditure,0.407
2012,E,E,IMF data and FAO Imputation. UNSD national account estimates,Agriculture orientation index for government expenditures [2.a.1],Index,FAO Imputation. World Bank national accounts data.,Consolidated General Government Expenditure,Budgetary Central Government Expenditure,0.665
2020,E,E,FAO Imputation. World Bank national accounts data.,Agriculture orientation index for government expenditures [2.a.1],Index,FAO Imputation. World Bank national accounts data.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,1.119
2009,A,C,FAO Questionnaire and IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,FAO Imputation.,Consolidated General Government Expenditure,Budgetary Central Government Expenditure,2.28
2010,A,C,FAO Questionnaire and IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,FAO Imputation.,Consolidated General Government Expenditure,Budgetary Central Government Expenditure,11.2
2011,A,C,FAO Questionnaire and IMF data.,Agriculture share of Government Expenditure [2.a.1],Percent,FAO Imputation.,Consolidated General Government Expenditure,Budgetary Central Government Expenditure,3.52
2012,E,E,IMF data and FAO Imputation.,Agriculture share of Government Expenditure [2.a.1],Percent,FAO Imputation.,Consolidated General Government Expenditure,Budgetary Central Government Expenditure,5.35
2020,E,E,FAO Imputation.,Agriculture share of Government Expenditure [2.a.1],Percent,FAO Imputation.,Budgetary Central Government Expenditure,Budgetary Central Government Expenditure,12.24
